link_id,name,parent_link_id,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width
2967,,,60399,60400,,,,,,,,9000,100,5,,,,,,,
2970,,,60404,60405,,,,,,,,9000,100,5,,,,,,,
3008,,,60436,60437,,,,,,,,1800,100,1,,,,,,,
3507,,,60903,60904,,,,,,,,1000,50,1,,,,,,,
4905,,,61867,60903,,,,,,,,950,90,1,,,,,,,
8148,,,63750,63751,,,,,,,,1000,50,1,,,,,,,
8149,,,63750,63752,,,,,,,,1500,90,2,,,,,,,
8150,,,63750,318409,,,,,,,,1500,90,2,,,,,,,
8151,,,63754,63751,,,,,,,,1000,50,1,,,,,,,
8152,,,63754,63755,,,,,,,,1300,50,2,,,,,,,
8153,,,63754,63756,,,,,,,,1000,50,1,,,,,,,
8154,,,63754,318411,,,,,,,,1300,50,2,,,,,,,
8216,,,317260,63795,,,,,,,,1500,90,2,,,,,,,
8218,,,63797,63798,,,,,,,,1000,50,1,,,,,,,
8219,,,63797,63799,,,,,,,,700,50,1,,,,,,,
8220,,,63797,63800,,,,,,,,700,50,1,,,,,,,
8224,,,63798,63797,,,,,,,,1000,50,1,,,,,,,
8225,,,63798,63804,,,,,,,,1000,50,1,,,,,,,
8226,,,63805,63806,,,,,,,,1700,90,2,,,,,,,
8227,,,63805,63807,,,,,,,,1000,50,1,,,,,,,
8228,,,63805,63808,,,,,,,,1700,90,2,,,,,,,
8230,,,63809,63811,,,,,,,,1000,50,1,,,,,,,
8231,,,63809,63812,,,,,,,,1000,50,1,,,,,,,
8232,,,63813,63814,,,,,,,,1700,90,2,,,,,,,
8233,,,63813,63815,,,,,,,,1000,50,1,,,,,,,
8234,,,63813,63816,,,,,,,,1700,90,2,,,,,,,
8235,,,63817,63818,,,,,,,,1000,50,1,,,,,,,
8236,,,63817,63819,,,,,,,,1000,50,1,,,,,,,
8237,,,63817,63811,,,,,,,,1000,50,1,,,,,,,
8238,,,63817,63812,,,,,,,,1000,50,1,,,,,,,
8239,,,63820,63818,,,,,,,,1000,50,1,,,,,,,
8240,,,63820,63821,,,,,,,,1400,50,2,,,,,,,
8241,,,63820,63814,,,,,,,,1400,50,2,,,,,,,
8242,,,63818,63817,,,,,,,,1000,50,1,,,,,,,
8243,,,63818,63820,,,,,,,,1000,50,1,,,,,,,
8367,,,63930,63931,,,,,,,,1000,50,1,,,,,,,
8368,,,63930,318413,,,,,,,,1000,50,1,,,,,,,
8379,,,63931,63930,,,,,,,,1000,50,1,,,,,,,
8380,,,63931,63943,,,,,,,,700,50,1,,,,,,,
8487,,,317323,64032,,,,,,,,1300,50,2,,,,,,,
8496,,,64038,64039,,,,,,,,1000,50,1,,,,,,,
8497,,,64038,64040,,,,,,,,1300,50,2,,,,,,,
8498,,,64038,64041,,,,,,,,1400,50,2,,,,,,,
8499,,,64039,64038,,,,,,,,1000,50,1,,,,,,,
8500,,,64039,64042,,,,,,,,1000,50,1,,,,,,,
8503,,,64040,64038,,,,,,,,1300,50,2,,,,,,,
8504,,,64040,64045,,,,,,,,1000,50,1,,,,,,,
8505,,,64040,64046,,,,,,,,1300,50,2,,,,,,,
8506,,,64045,64040,,,,,,,,1000,50,1,,,,,,,
8507,,,64045,64047,,,,,,,,1800,60,2,,,,,,,
8508,,,64045,64048,,,,,,,,1800,60,2,,,,,,,
8509,,,64049,64050,,,,,,,,1000,50,1,,,,,,,
8510,,,64049,64051,,,,,,,,1300,50,2,,,,,,,
8511,,,64049,64052,,,,,,,,1300,50,2,,,,,,,
8512,,,64050,64049,,,,,,,,1000,50,1,,,,,,,
