loc_id,link_id,ref_node_id,lr,x_coord,y_coord,z_coord,loc_type,zone_id,gfts_stop_id
191030,40282,,,319029.9045,5813732.075,,Bus stop,,
191031,40290,,,319647.0543,5813014.763,,Bus stop,,
191629,40204,,,323320.9601,5814625.969,,Bus stop,,
191630,35162,,,323288.1616,5814341.239,,Bus stop,,
191631,35402,,,323259.5418,5814105.145,,Bus stop,,
191632,35508,,,323245.8277,5813971.342,,Bus stop,,
191633,35548,,,323227.0301,5813801.031,,Bus stop,,
191634,35764,,,323199.5665,5813539.375,,Bus stop,,
191635,35982,,,323121.6721,5813390.751,,Bus stop,,
191636,18867,,,322879.9785,5813410.539,,Bus stop,,
191637,35952,,,322593.0402,5813443.094,,Bus stop,,
191638,35929,,,322458.0185,5813459.096,,Bus stop,,
191639,35924,,,322309.6662,5813475.608,,Bus stop,,
191640,36592,,,322142.9617,5813494.025,,Bus stop,,
191641,35877,,,321973.0486,5813513.593,,Bus stop,,
191642,35863,,,321853.5702,5813527.09,,Bus stop,,
191643,35858,,,321809.4042,5813460.655,,Bus stop,,
191644,36001,,,321681.3785,5813398.903,,Bus stop,,
191645,35965,,,321526.3963,5813400.765,,Bus stop,,
191646,35988,,,321381.5304,5813350.722,,Bus stop,,
191647,36072,,,321251.4128,5813301.016,,Bus stop,,
191648,40342,,,321153.6172,5813261.7,,Bus stop,,
191649,36148,,,320998.6045,5813200.008,,Bus stop,,
191650,40338,,,320898.2571,5813161.929,,Bus stop,,
191651,36215,,,320782.1235,5813117.046,,Bus stop,,
191652,36246,,,320681.2393,5813076.503,,Bus stop,,
191653,36272,,,320574.2301,5813034.527,,Bus stop,,
191654,40322,,,320473.5228,5812996.005,,Bus stop,,
191655,41294,,,320352.4484,5812949.074,,Bus stop,,
191656,40350,,,320253.2353,5812909.193,,Bus stop,,
191657,41347,,,320130.0247,5812861.096,,Bus stop,,
191658,22394,,,320028.2677,5812822.095,,Bus stop,,
191659,41415,,,319867.5594,5812761.176,,Bus stop,,
194557,27311,,,323772.3137,5818011.115,,Bus stop,,
194558,27420,,,323742.0318,5817745.645,,Bus stop,,
194559,27575,,,323705.2519,5817481.991,,Bus stop,,
194560,33686,,,323630.135,5816941.421,,Bus stop,,
194561,11231,,,323599.9707,5816701.056,,Bus stop,,
194562,33962,,,323557.5524,5816408.479,,Bus stop,,
194563,34143,,,323481.7371,5816163.811,,Bus stop,,
194564,34216,,,323365.8995,5816012.184,,Bus stop,,
194565,34284,,,323248.766,5815865.773,,Bus stop,,
194566,34349,,,323144.4396,5815764.743,,Bus stop,,
194567,34373,,,323011.1985,5815688.103,,Bus stop,,
194568,34434,,,322850.4387,5815597.459,,Bus stop,,
194569,39547,,,322711.8848,5815521.319,,Bus stop,,
194570,34568,,,322616.7167,5815315.181,,Bus stop,,
194571,34763,,,322580.552,5814988.339,,Bus stop,,
194572,22322,,,322550.4365,5814714.49,,Bus stop,,
194573,35116,,,322515.6619,5814419.431,,Bus stop,,
194574,35334,,,322477.0408,5814087.714,,Bus stop,,
194575,35376,,,322448.3822,5813834.04,,Bus stop,,
194576,35696,,,322304.9158,5813766.494,,Bus stop,,
194577,22323,,,322055.0283,5813795.234,,Bus stop,,
194578,35643,,,321765.7309,5813826.582,,Bus stop,,
194579,35611,,,321595.723,5813706.877,,Bus stop,,
194580,35837,,,321571.5419,5813489.223,,Bus stop,,
194581,35967,,,321553.3896,5813333.272,,Bus stop,,
194582,36131,,,321561.3593,5813218.645,,Bus stop,,
194583,36186,,,321467.1459,5813136.772,,Bus stop,,
194584,36249,,,321325.0021,5813080.679,,Bus stop,,
194585,40336,,,321226.2016,5813041.813,,Bus stop,,
194586,41258,,,321085.3257,5812987.291,,Bus stop,,
194587,40334,,,320983.5137,5812947.181,,Bus stop,,
194588,190304,,,320819.1427,5812882.263,,Bus stop,,
194589,41378,,,320651.5001,5812817.016,,Bus stop,,
194590,40320,,,320550.4935,5812777.454,,Bus stop,,
194591,41459,,,320437.6229,5812734.523,,Bus stop,,
194592,41535,,,320171.1303,5812631.732,,Bus stop,,
194593,41603,,,319950.5799,5812547.061,,Bus stop,,
194594,41671,,,319817.7709,5812564.067,,Bus stop,,
194595,40299,,,319778.1536,5812666.886,,Bus stop,,
194596,41480,,,319713.4035,5812828.405,,Bus stop,,
194597,41322,,,319623.6312,5812915.667,,Bus stop,,
194598,41346,,,319537.9163,5812882.9,,Bus stop,,
194599,57012,,,319303.9075,5812797.897,,Bus stop,,
196435,8487,,,317177.7906,5817586.213,,Bus stop,,
196436,33562,,,316807.2208,5817424.083,,Bus stop,,
196437,33526,,,316228.2538,5817486.004,,Bus stop,,
196438,39354,,,315750.2011,5817541.263,,Bus stop,,
196439,27581,,,315086.6695,5817629.089,,Bus stop,,
196440,27530,,,314387.9385,5817716.462,,Bus stop,,
196441,27473,,,313989.3558,5817727.22,,Bus stop,,
196442,27516,,,313666.9949,5817675.095,,Bus stop,,
196443,27549,,,313431.0366,5817338.18,,Bus stop,,
196444,33713,,,313580.9476,5817006.038,,Bus stop,,
196445,8526,,,313744.1366,5816717.922,,Bus stop,,
196446,34027,,,313692.7531,5816313.516,,Bus stop,,
196447,34183,,,313672.8772,5816152.148,,Bus stop,,
196448,34192,,,313970.0678,5816110.719,,Bus stop,,
196449,34229,,,314270.1674,5816031.86,,Bus stop,,
196450,55350,,,314243.2372,5815824.072,,Bus stop,,
196451,34420,,,314199.9135,5815465.505,,Bus stop,,
196452,34701,,,314350.0935,5815193.38,,Bus stop,,
196453,34772,,,314603.4101,5815019.075,,Bus stop,,
196454,34937,,,314754.6653,5814803.338,,Bus stop,,
196455,35055,,,314894.0742,5814599.3,,Bus stop,,
196456,35140,,,315009.8811,5814427.77,,Bus stop,,
196902,27295,,,321417.5527,5818057.364,,Bus stop,,
196903,10269,,,321393.0449,5817857.251,,Bus stop,,
196904,33471,,,321363.9592,5817610.452,,Bus stop,,
196905,33515,,,321328.6718,5817317.947,,Bus stop,,
196906,33559,,,321300.7853,5817010.645,,Bus stop,,
196907,33838,,,321267.0421,5816649.725,,Bus stop,,
196908,34033,,,321238.6287,5816404.417,,Bus stop,,
196909,34436,,,321216.0478,5816180.78,,Bus stop,,
196910,35129,,,321182.042,5815852.224,,Bus stop,,
196911,35148,,,321143.0773,5815500.161,,Bus stop,,
196912,34686,,,321095.9794,5815077.305,,Bus stop,,
196913,34931,,,321066.877,5814815.546,,Bus stop,,
196914,35001,,,320993.958,5814751.488,,Bus stop,,
196915,40250,,,320870.0155,5814764.31,,Bus stop,,
196916,34989,,,320786.6066,5814679.901,,Bus stop,,
196917,36597,,,320761.918,5814487.677,,Bus stop,,
196918,35250,,,320732.6605,5814218.439,,Bus stop,,
196919,35470,,,320704.9589,5813998.152,,Bus stop,,
196920,35414,,,320684.6937,5813803.191,,Bus stop,,
196921,35768,,,320665.8209,5813639.425,,Bus stop,,
196922,35805,,,320684.9604,5813542.604,,Bus stop,,
196923,35919,,,320732.723,5813421.185,,Bus stop,,
