node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
60399,,315981.0612,5810552.063,,,  ,,
60400,,315810.0612,5810563.063,,,  ,,
60404,,315979.0612,5810574.063,,,  ,,
60405,,316127.0612,5810590.063,,,  ,,
60436,,317903.3002,5811199.09,,,  ,,
60437,,317820.0612,5811120.063,,,  ,,
60438,,318014.6266,5810884.412,,,  ,,
60903,,323015.0612,5815055.063,,,  ,,
60904,,323021.0258,5815093.171,,,  ,,
61867,,323287.0612,5814971.063,,,  ,,
63750,,314220.2715,5808702.8,,,  ,,
63751,,314568.0924,5808658.276,,,  ,,
63752,,314158.0612,5808813.063,,,  ,,
63754,,314769.0621,5808636.026,,,  ,,
63755,,314524.3152,5809076.603,,,  ,,
63756,,315054.9062,5808597.144,,,  ,,
63795,,312875.0612,5812102.063,,External,Signal,,
63797,,313426.8868,5812878.968,,,  ,,
63798,,313368.0612,5812510.063,,,  ,,
63799,,313060.0612,5812929.063,,,  ,,
63800,,313687.969,5812843.098,,,Signal,,
63804,,313364.5002,5812466.426,,,  ,,
63805,,313645.7441,5812526.718,,,Signal,,
63806,,313638.3737,5812576.153,,,  ,,
63807,,314049.0873,5812463.105,,,  ,,
63808,,313633.8917,5812433.217,,,  ,,
63809,,314848.6617,5813499.864,,,  ,,
63811,,314874.0328,5813660.05,,,  ,,
63812,,314403.2139,5813545.16,,,  ,,
63813,,313794.21,5813624.766,,,Signal,,
63814,,313806.879,5813760.358,,,  ,,
63815,,314283.9894,5813555.997,,,  ,,
63816,,313740.0612,5813254.063,,,  ,,
63817,,314427.0532,5813716.049,,,  ,,
63818,,313939.0612,5813768.063,,,  ,,
63819,,314454.041,5813921.094,,,Signal,,
63820,,313823.7648,5813862.667,,,  ,,
63821,,313833.3872,5813957.925,,,  ,,
63943,,327101.1529,5815082.115,,,  ,,
64032,,317149.1065,5817388.081,,,Signal,,
64038,,316359.3405,5816484.293,,,Signal,,
64039,,316401.0765,5816889.062,,,  ,,
64040,,316476.2731,5816336.864,,,  ,,
64041,,316258.2558,5816613.672,,,Signal,,
64042,,316465.8109,5817463.839,,,Signal,,
64045,,317025.8699,5816282.281,,,  ,,
64046,,316968.8248,5815733.789,,,  ,,
64047,,317062.2435,5816564.815,,,Signal,,
64048,,316993.0612,5815975.063,,,  ,,
64049,,317906.895,5816482.284,,,  ,,
64050,,317244.1549,5816544.116,,,  ,,
64051,,317684.0612,5816834.063,,,  ,,
64052,,317934.0794,5816442.059,,,Signal,,
64059,,313770.853,5816978.35,,,Signal,,
64060,,314231.4135,5816899.421,,,  ,,
64061,,313388.8249,5817028.564,,,Signal,,
64062,,313710.0612,5816465.063,,,  ,,
64063,,313792.6245,5817154.253,,,  ,,
64074,,312929.0612,5815855.063,,,  ,,
64075,,313497.1638,5814753.367,,,  ,,
64076,,313119.0612,5814966.063,,,  ,,
64077,,313773.0612,5814719.063,,,  ,,
