mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type,op_note
85940,63750,,39211,1,1,8149,1,2,,,,   ,
85941,63750,,39211,1,1,8150,1,2,,,,   ,
85942,63750,,43991,1,1,8148,1,1,,,,   ,
85943,63750,,43991,1,2,8150,1,2,,,,   ,
85944,63750,,44446,2,2,8148,1,1,,,,   ,
85945,63750,,44446,1,2,8149,1,2,,,,   ,
85946,63754,,39212,1,1,8152,1,2,,,,   ,
85947,63754,,39212,1,1,8153,1,1,,,,   ,
85948,63754,,39212,1,1,8154,1,2,,,,   ,
85949,63754,,43852,2,2,8151,1,1,,,,   ,
85950,63754,,43852,1,1,8153,1,1,,,,   ,
85951,63754,,43852,1,2,8154,1,2,,,,   ,
85952,63754,,44085,1,1,8151,1,1,,,,   ,
85953,63754,,44085,1,1,8152,1,2,,,,   ,
85954,63754,,44085,1,1,8154,1,2,,,,   ,
85955,63754,,44257,1,1,8151,1,1,,,,   ,
85956,63754,,44257,1,2,8152,1,2,,,,   ,
85957,63754,,44257,2,2,8153,1,1,,,,   ,
86096,63797,,8224,1,1,8219,1,1,,,,   ,
86097,63797,,8224,1,1,8220,1,1,,,,   ,
86098,63797,,41330,1,1,8218,1,1,,,,   ,
86099,63797,,41330,1,1,8220,1,1,,,,   ,
86100,63797,,41373,1,1,8218,1,1,,,,   ,
86101,63797,,41373,1,1,8219,1,1,,,,   ,
86108,63798,,8218,1,1,8225,1,1,,,,   ,
86109,63798,,47409,1,1,8224,1,1,,,,   ,
86110,63805,,37792,1,1,8227,1,1,,,,Signal,
86111,63805,,37792,2,2,8228,1,2,,,,Signal,
86112,63805,,41700,1,1,8226,1,2,,,,Signal,
86113,63805,,41700,1,1,8228,1,2,,,,Signal,
86114,63805,,47434,1,1,8226,1,2,,,,Signal,
86115,63805,,47434,2,2,8227,1,1,,,,Signal,
86119,63809,,35781,1,1,8231,1,1,,,,   ,
86121,63809,,35846,1,1,8230,1,1,,,,   ,
86122,63813,,35685,1,1,8233,1,1,,,,Signal,
86123,63813,,35685,1,2,8234,1,2,,,,Signal,
86124,63813,,35838,1,1,8232,1,2,,,,Signal,
86125,63813,,35838,1,1,8234,1,2,,,,Signal,
86126,63813,,36132,1,2,8232,1,2,,,,Signal,
86127,63813,,36132,2,2,8233,1,1,,,,Signal,
86128,63817,,8242,1,1,8236,1,1,,,,   ,
86129,63817,,8242,1,1,8237,1,1,,,,   ,
86130,63817,,8242,1,1,8238,1,1,,,,   ,
86131,63817,,35549,1,1,8235,1,1,,,,   ,
86132,63817,,35549,1,1,8237,1,1,,,,   ,
86133,63817,,35549,1,1,8238,1,1,,,,   ,
86134,63817,,35782,1,1,8235,1,1,,,,   ,
86135,63817,,35782,1,1,8236,1,1,,,,   ,
86136,63817,,35782,1,1,8238,1,1,,,,   ,
86137,63817,,35847,1,1,8235,1,1,,,,   ,
86138,63817,,35847,1,1,8236,1,1,,,,   ,
86139,63817,,35847,1,1,8237,1,1,,,,   ,
86140,63820,,8243,1,1,8240,1,2,,,,   ,
86141,63820,,8243,1,1,8241,1,2,,,,   ,
86142,63820,,35528,1,1,8239,1,1,,,,   ,
86143,63820,,35528,1,2,8241,1,2,,,,   ,
86144,63820,,35686,2,2,8239,1,1,,,,   ,
86145,63820,,35686,1,2,8240,1,2,,,,   ,
86146,63818,,8235,1,1,8243,1,1,,,,   ,
86147,63818,,8239,1,1,8242,1,1,,,,   ,
86390,10000001,,8379,1,1,8368,1,1,,,,   ,
86391,10000002,,34536,1,1,8367,1,1,,,,   ,
86404,10000003,,8367,1,1,8380,1,1,,,,   ,
86405,10000004,,34811,1,1,8379,1,1,,,,   ,
86616,64038,,8499,1,1,8497,1,2,,,,Signal,
86617,64038,,8499,1,1,8498,1,2,,,,Signal,
86618,64038,,8503,2,2,8496,1,1,,,,Signal,
86619,64038,,8503,1,2,8498,1,2,,,,Signal,
86620,64038,,33950,1,1,8496,1,1,,,,Signal,
86621,64038,,33950,1,2,8497,1,2,,,,Signal,
86622,64039,,8496,1,1,8500,1,1,,,,   ,
86625,64039,,33524,1,1,8499,1,1,,,,   ,
86634,64040,,8497,1,1,8504,1,1,,,,   ,
86635,64040,,8497,1,2,8505,1,2,,,,   ,
86636,64040,,8506,1,1,8503,1,2,,,,   ,
86637,64040,,8506,1,1,8505,1,2,,,,   ,
86638,64040,,34375,1,2,8503,1,2,,,,   ,
86639,64040,,34375,2,2,8504,1,1,,,,   ,
86640,64045,,8504,1,1,8507,1,2,,,,   ,
86641,64045,,8504,1,1,8508,1,2,,,,   ,
86642,64045,,33968,2,2,8506,1,1,,,,   ,
86643,64045,,33968,1,2,8508,1,2,,,,   ,
86644,64045,,34268,1,1,8506,1,1,,,,   ,
86645,64045,,34268,1,2,8507,1,2,,,,   ,
86646,64049,,8512,1,1,8510,1,2,,,,   ,
86647,64049,,8512,1,1,8511,1,2,,,,   ,
86648,64049,,33484,2,2,8509,1,1,,,,   ,
86649,64049,,33484,1,2,8511,1,2,,,,   ,
86650,64049,,36004,1,1,8509,1,1,,,,   ,
86651,64049,,36004,1,2,8510,1,2,,,,   ,
86652,64050,,8509,1,1,8513,1,1,,,,   ,
86653,64050,,33969,1,1,8512,1,1,,,,   ,
86682,64059,,33713,2,2,8526,1,2,,,,Signal,
86683,64059,,33713,1,1,8527,1,2,,,,Signal,
86685,64059,,34026,1,1,8525,1,2,,,,Signal,
86686,64059,,34026,1,2,8527,1,2,,,,Signal,
86688,64059,,37862,2,2,8525,1,2,,,,Signal,
86689,64059,,37862,1,2,8526,1,2,,,,Signal,
86714,64075,,8553,1,1,8539,1,1,,,,   ,
86715,64075,,8553,1,1,8540,1,1,,,,   ,
86716,64075,,8553,1,1,8541,1,1,,,,   ,
86717,64075,,8555,1,1,8538,1,1,,,,   ,
86718,64075,,8555,1,1,8540,1,1,,,,   ,
86719,64075,,8555,1,1,8541,1,1,,,,   ,
