signal_phase_mvmt_id,controller_id,timing_phase_id,signal_phase_num,timing_plan_id,mvmt_id,link_id,protection
1,1,1,1,1,133217,,
2,1,1,1,1,133218,,
3,1,1,1,1,133215,,
4,1,2,2,1,133215,,
5,1,3,3,1,133216,,
6,1,3,3,1,133215,,
7,1,5,5,1,133219,,
8,1,5,5,1,133220,,
9,1,7,1,2,140840,,
10,1,7,1,2,140843,,
11,1,7,1,2,140844,,
12,1,9,3,2,140839,,
13,1,9,3,2,140840,,
14,1,11,5,2,140841,,
15,1,11,5,2,140842,,
16,1,13,1,3,133104,,
17,1,13,1,3,133105,,
18,1,15,3,3,133108,,
19,1,15,3,3,133109,,
20,1,17,5,3,133106,,
21,1,17,5,3,133107,,
22,1,19,1,4,133272,,
23,1,19,1,4,133273,,
24,1,19,1,4,133274,,
25,1,21,3,4,133281,,
26,1,21,3,4,133283,,
27,1,21,3,4,133282,,
28,1,23,5,4,133279,,
29,1,23,5,4,133281,,
30,1,23,5,4,133283,,
31,1,25,7,4,133275,,
32,1,25,7,4,133276,,
33,1,25,7,4,133279,,
34,1,25,7,4,133277,,
35,1,27,9,4,133278,,
36,1,27,9,4,133280,,
37,1,27,9,4,133279,,
38,1,29,1,5,133313,,
39,1,29,1,5,133315,,
40,1,31,3,5,133310,,
41,1,31,3,5,133312,,
42,1,33,5,5,133319,,
43,1,33,5,5,133320,,
44,1,35,1,6,140441,,
45,1,35,1,6,140443,,
46,1,35,1,6,140444,,
47,1,37,3,6,140457,,
48,1,37,3,6,140458,,
49,1,37,3,6,140460,,
50,1,39,5,6,140453,,
51,1,39,5,6,140454,,
52,1,39,5,6,140456,,
53,1,41,7,6,140445,,
54,1,41,7,6,140448,,
55,1,43,9,6,140447,,
56,1,45,1,7,133296,,
57,1,45,1,7,133298,,
58,1,47,3,7,133305,,
59,1,47,3,7,133306,,
60,1,49,5,7,133299,,
61,1,49,5,7,133301,,
62,1,51,1,8,133221,,
63,1,51,1,8,133222,,
64,1,51,1,8,133223,,
65,1,52,2,8,133223,,
66,1,53,3,8,133230,,
67,1,53,3,8,133231,,
68,1,53,3,8,133232,,
