timing_phase_id,timing_plan_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,ring,barrier,position
1,1,1,91,0,,3,,,1,1,
2,1,2,3,3,,3,,,1,1,
3,1,3,6,0,,3,,,1,1,
4,1,4,3,3,,3,,,1,1,
5,1,5,74,0,,3,,,1,1,
6,1,6,3,3,,3,,,1,1,
7,2,1,85,0,,3,,,1,1,
8,2,2,3,3,,3,,,1,1,
9,2,3,64,0,,3,,,1,1,
10,2,4,3,3,,3,,,1,1,
11,2,5,22,0,,3,,,1,1,
12,2,6,3,3,,3,,,1,1,
13,3,1,80,0,,3,,,1,1,
14,3,2,3,3,,3,,,1,1,
15,3,3,71,0,,3,,,1,1,
16,3,4,3,3,,3,,,1,1,
17,3,5,19,0,,3,,,1,1,
18,3,6,3,3,,3,,,1,1,
19,4,1,58,0,,3,,,1,1,
20,4,2,3,3,,3,,,1,1,
21,4,3,6,0,,3,,,1,1,
22,4,4,3,3,,3,,,1,1,
23,4,5,50,0,,3,,,1,1,
24,4,6,3,3,,3,,,1,1,
25,4,7,45,0,,3,,,1,1,
26,4,8,3,3,,3,,,1,1,
27,4,9,6,0,,3,,,1,1,
28,4,10,3,3,,3,,,1,1,
29,5,1,98,0,,3,,,1,1,
30,5,2,3,3,,3,,,1,1,
31,5,3,67,0,,3,,,1,1,
32,5,4,3,3,,3,,,1,1,
33,5,5,6,0,,3,,,1,1,
34,5,6,3,3,,3,,,1,1,
35,6,1,68,0,,3,,,1,1,
36,6,2,3,3,,3,,,1,1,
37,6,3,59,0,,3,,,1,1,
38,6,4,3,3,,3,,,1,1,
39,6,5,25,0,,3,,,1,1,
40,6,6,3,3,,3,,,1,1,
41,6,7,7,0,,3,,,1,1,
42,6,8,3,3,,3,,,1,1,
43,6,9,6,0,,3,,,1,1,
44,6,10,3,3,,3,,,1,1,
45,7,1,27,0,,3,,,1,1,
46,7,2,3,3,,3,,,1,1,
47,7,3,12,0,,3,,,1,1,
48,7,4,3,3,,3,,,1,1,
49,7,5,12,0,,3,,,1,1,
50,7,6,3,3,,3,,,1,1,
51,8,1,52,0,,3,,,1,1,
52,8,2,3,3,,3,,,1,1,
53,8,3,31,0,,3,,,1,1,
54,8,4,3,3,,3,,,1,1,
55,8,5,51,0,,3,,,1,1,
56,8,6,3,3,,3,,,1,1,
57,8,7,35,0,,3,,,1,1,
58,8,8,3,3,,3,,,1,1,
59,9,1,63,0,,3,,,1,1,
60,9,2,3,3,,3,,,1,1,
61,9,3,44,0,,3,,,1,1,
62,9,4,3,3,,3,,,1,1,
63,9,5,33,0,,3,,,1,1,
64,9,6,3,3,,3,,,1,1,
65,9,7,29,0,,3,,,1,1,
66,9,8,3,3,,3,,,1,1,
67,10,1,56,0,,3,,,1,1,
68,10,2,3,3,,3,,,1,1,
69,10,3,17,0,,3,,,1,1,
70,10,4,3,3,,3,,,1,1,
71,10,5,50,0,,3,,,1,1,
72,10,6,3,3,,3,,,1,1,
73,10,7,45,0,,3,,,1,1,
74,10,8,3,3,,3,,,1,1,
75,11,1,52,0,,3,,,1,1,
76,11,2,3,3,,3,,,1,1,
77,11,3,10,0,,3,,,1,1,
78,11,4,3,3,,3,,,1,1,
79,11,5,36,0,,3,,,1,1,
80,11,6,3,3,,3,,,1,1,
81,11,7,36,0,,3,,,1,1,
82,11,8,3,3,,3,,,1,1,
83,11,9,31,0,,3,,,1,1,
84,11,10,3,3,,3,,,1,1,
85,12,1,30,0,,3,,,1,1,
86,12,2,3,3,,3,,,1,1,
87,12,3,20,0,,3,,,1,1,
88,12,4,3,3,,3,,,1,1,
89,12,5,6,0,,3,,,1,1,
90,12,6,3,3,,3,,,1,1,
91,13,1,57,0,,3,,,1,1,
92,13,2,3,3,,3,,,1,1,
93,13,3,45,0,,3,,,1,1,
94,13,4,3,3,,3,,,1,1,
95,13,5,48,0,,3,,,1,1,
96,13,6,3,3,,3,,,1,1,
97,13,7,19,0,,3,,,1,1,
98,13,8,3,3,,3,,,1,1,
99,14,1,64,0,,3,,,1,1,
100,14,2,3,3,,3,,,1,1,
101,14,3,40,0,,3,,,1,1,
102,14,4,3,3,,3,,,1,1,
103,14,5,58,0,,3,,,1,1,
104,14,6,3,3,,3,,,1,1,
105,14,7,6,0,,3,,,1,1,
106,14,8,3,3,,3,,,1,1,
107,15,1,115,0,,3,,,1,1,
108,15,2,3,3,,3,,,1,1,
109,15,3,34,0,,3,,,1,1,
110,15,4,3,3,,3,,,1,1,
111,15,5,22,0,,3,,,1,1,
112,15,6,3,3,,3,,,1,1,
113,16,1,27,0,,3,,,1,1,
114,16,2,3,3,,3,,,1,1,
115,16,3,13,0,,3,,,1,1,
116,16,4,3,3,,3,,,1,1,
117,16,5,11,0,,3,,,1,1,
118,16,6,3,3,,3,,,1,1,
119,17,1,93,0,,3,,,1,1,
120,17,2,3,3,,3,,,1,1,
121,17,3,31,0,,3,,,1,1,
122,17,4,3,3,,3,,,1,1,
123,17,5,47,0,,3,,,1,1,
124,17,6,3,3,,3,,,1,1,
125,18,1,108,0,,3,,,1,1,
126,18,2,3,3,,3,,,1,1,
127,18,3,12,0,,3,,,1,1,
128,18,4,3,3,,3,,,1,1,
129,18,5,51,0,,3,,,1,1,
130,18,6,3,3,,3,,,1,1,
131,19,1,49,0,,3,,,1,1,
132,19,2,3,3,,3,,,1,1,
133,19,3,48,0,,3,,,1,1,
134,19,4,3,3,,3,,,1,1,
135,19,5,46,0,,3,,,1,1,
136,19,6,3,3,,3,,,1,1,
137,19,7,26,0,,3,,,1,1,
138,19,8,3,3,,3,,,1,1,
139,20,1,85,0,,3,,,1,1,
140,20,2,3,3,,3,,,1,1,
141,20,3,13,0,,3,,,1,1,
142,20,4,3,3,,3,,,1,1,
143,20,5,36,0,,3,,,1,1,
144,20,6,3,3,,3,,,1,1,
145,20,7,33,0,,3,,,1,1,
146,20,8,3,3,,3,,,1,1,
147,21,1,67,0,,3,,,1,1,
148,21,2,3,3,,3,,,1,1,
149,21,3,48,0,,3,,,1,1,
150,21,4,3,3,,3,,,1,1,
151,21,5,35,0,,3,,,1,1,
152,21,6,3,3,,3,,,1,1,
153,21,7,17,0,,3,,,1,1,
154,21,8,3,3,,3,,,1,1,
155,22,1,43,0,,3,,,1,1,
156,22,2,3,3,,3,,,1,1,
157,22,3,41,0,,3,,,1,1,
158,22,4,3,3,,3,,,1,1,
159,22,5,36,0,,3,,,1,1,
160,22,6,3,3,,3,,,1,1,
161,22,7,39,0,,3,,,1,1,
162,22,8,3,3,,3,,,1,1,
163,22,9,6,0,,3,,,1,1,
164,22,10,3,3,,3,,,1,1,
165,23,1,124,0,,3,,,1,1,
166,23,2,3,3,,3,,,1,1,
167,23,3,41,0,,3,,,1,1,
168,23,4,3,3,,3,,,1,1,
169,23,5,6,0,,3,,,1,1,
170,23,6,3,3,,3,,,1,1,
171,24,1,73,0,,3,,,1,1,
172,24,2,3,3,,3,,,1,1,
173,24,3,65,0,,3,,,1,1,
174,24,4,3,3,,3,,,1,1,
175,24,5,8,0,,3,,,1,1,
176,24,6,3,3,,3,,,1,1,
177,24,7,14,0,,3,,,1,1,
178,24,8,3,3,,3,,,1,1,
179,24,9,6,0,,3,,,1,1,
180,24,10,3,3,,3,,,1,1,
181,25,1,77,0,,3,,,1,1,
182,25,2,3,3,,3,,,1,1,
183,25,3,47,0,,3,,,1,1,
184,25,4,3,3,,3,,,1,1,
185,25,5,38,0,,3,,,1,1,
186,25,6,3,3,,3,,,1,1,
187,25,7,6,0,,3,,,1,1,
188,25,8,3,3,,3,,,1,1,
189,26,1,41,0,,3,,,1,1,
190,26,2,3,3,,3,,,1,1,
191,26,3,6,0,,3,,,1,1,
192,26,4,3,3,,3,,,1,1,
193,26,5,6,0,,3,,,1,1,
194,26,6,3,3,,3,,,1,1,
195,27,1,61,0,,3,,,1,1,
196,27,2,3,3,,3,,,1,1,
197,27,3,45,0,,3,,,1,1,
198,27,4,3,3,,3,,,1,1,
199,27,5,20,0,,3,,,1,1,
200,27,6,3,3,,3,,,1,1,
201,27,7,33,0,,3,,,1,1,
202,27,8,3,3,,3,,,1,1,
203,27,9,6,0,,3,,,1,1,
204,27,10,3,3,,3,,,1,1,
205,28,1,99,0,,3,,,1,1,
206,28,2,3,3,,3,,,1,1,
207,28,3,59,0,,3,,,1,1,
208,28,4,3,3,,3,,,1,1,
209,28,5,13,0,,3,,,1,1,
210,28,6,3,3,,3,,,1,1,
211,29,1,92,0,,3,,,1,1,
212,29,2,3,3,,3,,,1,1,
213,29,3,37,0,,3,,,1,1,
214,29,4,3,3,,3,,,1,1,
215,29,5,31,0,,3,,,1,1,
216,29,6,3,3,,3,,,1,1,
217,29,7,8,0,,3,,,1,1,
218,29,8,3,3,,3,,,1,1,
219,30,1,62,0,,3,,,1,1,
220,30,2,3,3,,3,,,1,1,
221,30,3,44,0,,3,,,1,1,
222,30,4,3,3,,3,,,1,1,
223,30,5,25,0,,3,,,1,1,
224,30,6,3,3,,3,,,1,1,
225,30,7,28,0,,3,,,1,1,
226,30,8,3,3,,3,,,1,1,
227,30,9,6,0,,3,,,1,1,
228,30,10,3,3,,3,,,1,1,
229,31,1,74,0,,3,,,1,1,
230,31,2,3,3,,3,,,1,1,
231,31,3,68,0,,3,,,1,1,
232,31,4,3,3,,3,,,1,1,
233,31,5,29,0,,3,,,1,1,
234,31,6,3,3,,3,,,1,1,
235,32,1,63,0,,3,,,1,1,
236,32,2,3,3,,3,,,1,1,
237,32,3,26,0,,3,,,1,1,
238,32,4,3,3,,3,,,1,1,
239,32,5,49,0,,3,,,1,1,
240,32,6,3,3,,3,,,1,1,
241,32,7,30,0,,3,,,1,1,
242,32,8,3,3,,3,,,1,1,
243,33,1,159,0,,3,,,1,1,
244,33,2,3,3,,3,,,1,1,
245,33,3,6,0,,3,,,1,1,
246,33,4,3,3,,3,,,1,1,
247,33,5,6,0,,3,,,1,1,
248,33,6,3,3,,3,,,1,1,
249,34,1,18,0,,3,,,1,1,
250,34,2,3,3,,3,,,1,1,
251,34,3,24,0,,3,,,1,1,
252,34,4,3,3,,3,,,1,1,
253,34,5,16,0,,3,,,1,1,
