centroid_old_id,centroid_new_id,x_coord,y_coord,name
317260,1921,312622.9521,5816016.626,
317263,1922,312507.0628,5815039.713,
317265,1923,326154.4957,5808289.662,
317267,1924,327054.1472,5808216.229,
317269,1925,327769.6374,5810765.873,
317271,1926,327607.6961,5812878.808,
317273,1927,327587.2086,5811972.566,
317275,1928,323403.6615,5808317.931,
317277,1929,324213.0865,5808285.453,
317279,1930,327710.8621,5814090.577,
317281,1931,319347.5518,5818023.896,
317283,1932,324886.3583,5818108.678,
317289,1933,325612.0433,5818145.736,
317291,1934,326231.0384,5818073.694,
317293,1935,318348.8159,5818317.527,
317297,1936,322352.3264,5808217.254,
317299,1937,322485.43,5808324.064,
317301,1938,322592.6838,5808315.18,
317303,1939,312607.2223,5811560.303,
317305,1940,327765.0612,5815590.063,
317307,1941,312660.68,5817626.453,
317309,1942,318886.1503,5818285.121,
317311,1943,321430.0758,5818143.099,
317313,1944,323781.0517,5818120.825,
317315,1945,320547.861,5818105.195,
317317,1946,322103.278,5818066.358,
317319,1947,317151.6904,5818048.448,
317323,1948,317259.7517,5818039.883,
317327,1949,322840.1367,5818029.874,
317331,1950,315516.0797,5817742.079,
317333,1951,327480.5671,5817466.825,
317335,1952,312446.8121,5816292.285,
317337,1953,312447.2717,5816234.111,
317339,1954,327702.3382,5815559.699,
317341,1955,327560.604,5814818.676,
317343,1956,312684.2321,5814592.554,
317345,1957,327679.2697,5814288.033,
317347,1958,312593.1126,5814180.773,
317349,1959,327677.6948,5813658.086,
317351,1960,327690.8505,5813392.578,
317353,1961,321182.2338,5808257.812,
317355,1962,312419.5696,5813073.316,
317357,1963,312418.5686,5812966.315,
317359,1964,327825.1297,5811258.939,
317361,1965,312576.0957,5810512.825,
317363,1966,327575.1731,5810015.091,
317365,1967,312519.919,5809694.51,
317367,1968,327557.3174,5809592.724,
317369,1969,327748.5064,5808661.984,
317373,1970,320906.2599,5808255.698,
317375,1971,325023.5731,5808163.252,
317377,1972,325833.9527,5808124.433,
