link_id,link_id_new,from_node_old,to_node_old,from_node_new,to_node_new,x_from,y_from,x_to,y_to,bias,mae,rmse,mape
2967,1,60399,60400,1,2,315981.0612,5810552.063,315810.0612,5810563.063,,,,
2970,2,60404,60405,3,4,315979.0612,5810574.063,316127.0612,5810590.063,,,,
3008,3,60436,60437,5,6,317903.3002,5811199.09,317820.0612,5811120.063,,,,
3507,4,60903,60904,8,9,323015.0612,5815055.063,323021.0258,5815093.171,,,,
4905,5,61867,60903,10,8,323287.0612,5814971.063,323015.0612,5815055.063,,,,
8148,6,63750,63751,11,12,314220.2715,5808702.8,314568.0924,5808658.276,,,,
8149,7,63750,63752,11,13,314220.2715,5808702.8,314158.0612,5808813.063,,,,
8150,8,63750,318409,11,2275,314220.2715,5808702.8,314667.7315,5807918.687,,,,
8151,9,63754,63751,14,12,314769.0621,5808636.026,314568.0924,5808658.276,,,,
8152,10,63754,63755,14,15,314769.0621,5808636.026,314524.3152,5809076.603,,,,
8153,11,63754,63756,14,16,314769.0621,5808636.026,315054.9062,5808597.144,,,,
8154,12,63754,318411,14,2276,314769.0621,5808636.026,315063.4185,5808152.757,,,,
8216,13,317260,63795,1920,17,312356.4766,5812172.386,312875.0612,5812102.063,,,,
8218,14,63797,63798,18,19,313426.8868,5812878.968,313368.0612,5812510.063,,,,
8219,15,63797,63799,18,20,313426.8868,5812878.968,313060.0612,5812929.063,,,,
8220,16,63797,63800,18,21,313426.8868,5812878.968,313687.969,5812843.098,-44.514164,45.25501,56.742565,0.2536312
8224,17,63798,63797,19,18,313368.0612,5812510.063,313426.8868,5812878.968,,,,
8225,18,63798,63804,19,22,313368.0612,5812510.063,313364.5002,5812466.426,,,,
8226,19,63805,63806,23,24,313645.7441,5812526.718,313638.3737,5812576.153,,,,
8227,20,63805,63807,23,25,313645.7441,5812526.718,314049.0873,5812463.105,,,,
8228,21,63805,63808,23,26,313645.7441,5812526.718,313633.8917,5812433.217,,,,
8230,22,63809,63811,27,28,314848.6617,5813499.864,314874.0328,5813660.05,,,,
8231,23,63809,63812,27,29,314848.6617,5813499.864,314403.2139,5813545.16,,,,
8232,24,63813,63814,30,31,313794.21,5813624.766,313806.879,5813760.358,,,,
8233,25,63813,63815,30,32,313794.21,5813624.766,314283.9894,5813555.997,,,,
