node_id,zone_id,name,bin_index,node_type,control_type,x_coord,y_coord,geometry,production,attraction
1,1,,,,,315981.0612,5810552.063,,1,1
2,2,,,,,315810.0612,5810563.063,,1,1
3,3,,,,,315979.0612,5810574.063,,1,1
4,4,,,,,316127.0612,5810590.063,,1,1
5,5,,,,,317903.3002,5811199.09,,1,1
6,6,,,,,317820.0612,5811120.063,,1,1
7,7,,,,,318014.6266,5810884.412,,1,1
8,8,,,,,323015.0612,5815055.063,,1,1
9,9,,,,,323021.0258,5815093.171,,1,1
10,10,,,,,323287.0612,5814971.063,,1,1
11,11,,,,,314220.2715,5808702.8,,1,1
12,12,,,,,314568.0924,5808658.276,,1,1
13,13,,,,,314158.0612,5808813.063,,1,1
14,14,,,,,314769.0621,5808636.026,,1,1
15,15,,,,,314524.3152,5809076.603,,1,1
16,16,,,,,315054.9062,5808597.144,,1,1
17,17,,,,,312875.0612,5812102.063,,1,1
18,18,,,,,313426.8868,5812878.968,,1,1
19,19,,,,,313368.0612,5812510.063,,1,1
20,20,,,,,313060.0612,5812929.063,,1,1
21,21,,,,,313687.969,5812843.098,,1,1
22,22,,,,,313364.5002,5812466.426,,1,1
23,23,,,,,313645.7441,5812526.718,,1,1
24,24,,,,,313638.3737,5812576.153,,1,1
25,25,,,,,314049.0873,5812463.105,,1,1
26,26,,,,,313633.8917,5812433.217,,1,1
27,27,,,,,314848.6617,5813499.864,,1,1
28,28,,,,,314874.0328,5813660.05,,1,1
29,29,,,,,314403.2139,5813545.16,,1,1
30,30,,,,,313794.21,5813624.766,,1,1
31,31,,,,,313806.879,5813760.358,,1,1
32,32,,,,,314283.9894,5813555.997,,1,1
33,33,,,,,313740.0612,5813254.063,,1,1
34,34,,,,,314427.0532,5813716.049,,1,1
35,35,,,,,313939.0612,5813768.063,,1,1
36,36,,,,,314454.041,5813921.094,,1,1
37,37,,,,,313823.7648,5813862.667,,1,1
38,38,,,,,313833.3872,5813957.925,,1,1
39,39,,,,,327708.39454999997,5815562.911,,1,1
40,40,,,,,327404.773725,5815322.513,,1,1
41,41,,,,,327101.1529,5815082.115,,1,1
42,42,,,,,317149.1065,5817388.081,,1,1
43,43,,,,,316359.3405,5816484.293,,1,1
44,44,,,,,316401.0765,5816889.062,,1,1
45,45,,,,,316476.2731,5816336.864,,1,1
46,46,,,,,316258.2558,5816613.672,,1,1
47,47,,,,,316465.8109,5817463.839,,1,1
48,48,,,,,317025.8699,5816282.281,,1,1
49,49,,,,,316968.8248,5815733.789,,1,1
50,50,,,,,317062.2435,5816564.815,,1,1
51,51,,,,,316993.0612,5815975.063,,1,1
52,52,,,,,317906.895,5816482.284,,1,1
53,53,,,,,317244.1549,5816544.116,,1,1
54,54,,,,,317684.0612,5816834.063,,1,1
55,55,,,,,317934.0794,5816442.059,,1,1
56,56,,,,,317386.57555,5818011.2955,,1,1
57,57,,,,,313770.853,5816978.35,,1,1
58,58,,,,,314231.4135,5816899.421,,1,1
59,59,,,,,313388.8249,5817028.564,,1,1
60,60,,,,,313710.0612,5816465.063,,1,1
61,61,,,,,313792.6245,5817154.253,,1,1
62,62,,,,,312929.0612,5815855.063,,1,1
63,63,,,,,313497.1638,5814753.367,,1,1
64,64,,,,,313119.0612,5814966.063,,1,1
65,65,,,,,313773.0612,5814719.063,,1,1
66,66,,,,,313598.0533,5815529.099,,1,1
67,67,,,,,313465.2003,5814502.16,,1,1
68,68,,,,,314097.8676,5814685.291,,1,1
69,69,,,,,314119.0612,5814851.063,,1,1
70,70,,,,,314071.0674,5814437.074,,1,1
71,71,,,,,312708.7747,5815010.276000001,,1,1
72,72,,,,,317856.2777,5815653.662,,1,1
73,73,,,,,317927.0612,5815656.063,,1,1
74,74,,,,,317311.3362,5815712.675,,1,1
75,75,,,,,317895.17854999995,5816047.8605,,1,1
76,76,,,,,314693.0597,5812723.051,,1,1
77,77,,,,,314283.4363,5812769.348,,1,1
78,78,,,,,314900.0827,5812698.04,,1,1
79,79,,,,,323361.6398,5815050.63,,1,1
80,80,,,,,323343.0612,5815072.063,,1,1
81,81,,,,,323366.0612,5815081.063,,1,1
82,82,,,,,323196.0612,5815088.063,,1,1
83,83,,,,,323174.0612,5815079.063,,1,1
84,84,,,,,323167.0612,5815063.063,,1,1
85,85,,,,,323180.0612,5815042.063,,1,1
86,86,,,,,323215.2526,5815028.816,,1,1
87,87,,,,,325401.27,5809005.633,,1,1
88,88,,,,,325483.0612,5809625.063,,1,1
89,89,,,,,325487.3668,5808993.665,,1,1
90,90,,,,,325290.9549,5809019.376,,1,1
91,91,,,,,325477.0612,5809660.063,,1,1
92,92,,,,,324633.2298,5809120.548,,1,1
93,93,,,,,324683.98665,5809539.533,,1,1
94,94,,,,,324876.81715,5809084.085000001,,1,1
95,95,,,,,324315.6391,5809159.759,,1,1
96,96,,,,,324734.7435,5809958.518,,1,1
97,97,,,,,324425.637,5809995.747,,1,1
98,98,,,,,324960.2754,5809931.805,,1,1
99,99,,,,,323860.2139,5809233.502,,1,1
100,100,,,,,323905.0577,5809610.064,,1,1
101,101,,,,,324071.9437,5809195.323,,1,1
102,102,,,,,323568.9328,5809270.325,,1,1
103,103,,,,,323736.2174,5808687.533,,1,1
104,104,,,,,323609.13375000004,5808829.7585,,1,1
105,105,,,,,323457.9598,5808725.689,,1,1
106,106,,,,,323912.9457,5808656.322,,1,1
107,107,,,,,323482.0501,5808971.984,,1,1
108,108,,,,,322674.3212,5809097.709,,1,1
109,109,,,,,323076.0639,5809034.081,,1,1
110,110,,,,,322686.5924,5809203.885,,1,1
111,111,,,,,322646.968,5808839.719,,1,1
112,112,,,,,323279.05700000003,5809003.032500001,,1,1
113,113,,,,,323513.0702,5809282.603,,1,1
114,114,,,,,325009.8937,5810350.373,,1,1
115,115,,,,,324865.0612,5810371.063,,1,1
116,116,,,,,325034.0612,5810521.063,,1,1
117,117,,,,,325342.1136,5810861.336,,1,1
118,118,,,,,325298.0612,5810894.063,,1,1
119,119,,,,,325410.0612,5810844.063,,1,1
120,120,,,,,325235.2938,5809897.656,,1,1
121,121,,,,,325704.5026,5810550.857,,1,1
122,122,,,,,325716.0612,5810488.063,,1,1
123,123,,,,,325667.0612,5810615.063,,1,1
124,124,,,,,325647.2197,5809844.619,,1,1
125,125,,,,,325805.7497,5809824.397,,1,1
126,126,,,,,325375.963,5809879.32,,1,1
127,127,,,,,320724.6442,5808557.946,,1,1
128,128,,,,,320880.0612,5808794.063,,1,1
129,129,,,,,320475.0612,5808702.063,,1,1
130,130,,,,,320932.0612,5808425.063,,1,1
131,131,,,,,320293.0795,5809165.061,,1,1
132,132,,,,,319477.5324,5809109.261,,1,1
133,133,,,,,319324.0252,5809193.497,,1,1
134,134,,,,,319624.1523,5809335.709,,1,1
135,135,,,,,319756.8096,5808951.922,,1,1
136,136,,,,,319933.98795,5809711.621,,1,1
137,137,,,,,320117.9208,5809891.171,,1,1
138,138,,,,,319750.0551,5809532.071,,1,1
139,139,,,,,320332.9914,5809976.243,,1,1
140,140,,,,,320190.164,5810343.832,,1,1
141,141,,,,,320430.1843,5809732.121,,1,1
142,142,,,,,319309.0918,5809842.05,,1,1
