name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,4228,2308,1921,Highway,1,0.0229443013093022,2.0,13000.0,0.0013766580785581,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4229,2319,1921,Highway,1,0.2664305550659953,2.0,13000.0,0.0159858333039597,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4230,2307,1921,Highway,1,0.3201527478562342,2.0,13000.0,0.019209164871374,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4232,2317,1922,Highway,1,0.016187698177911,2.0,13000.0,0.0009712618906746,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4233,2316,1922,Highway,1,0.4836258722988169,2.0,13000.0,0.029017552337929,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4235,2318,1922,Highway,1,0.87041159802658,2.0,13000.0,0.0522246958815947,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4236,2285,1923,Highway,1,0.0121066583700958,2.0,13000.0,0.0007263995022057,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4238,2286,1923,Highway,1,0.3323369055078239,2.0,13000.0,0.0199402143304694,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4240,2283,1924,Highway,1,0.0029999599064292,2.0,13000.0,0.0001799975943857,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4242,2284,1924,Highway,1,0.4240089157029344,2.0,13000.0,0.025440534942176,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4244,2281,1925,Highway,1,0.0029996781917324,2.0,13000.0,0.0001799806915039,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4246,2282,1925,Highway,1,0.5021779973154883,2.0,13000.0,0.0301306798389292,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4248,2320,1926,Highway,1,0.0044992335749077,2.0,13000.0,0.0002699540144944,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4251,2313,1926,Highway,1,0.523455004700375,2.0,13000.0,0.0314073002820224,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4252,2324,1927,Highway,1,0.0277891879313648,2.0,13000.0,0.0016673512758818,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4256,2328,1928,Highway,1,0.0267146453211462,2.0,13000.0,0.0016028787192687,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4260,2329,1929,Highway,1,0.004500055555186,2.0,13000.0,0.0002700033333111,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4264,2310,1930,Highway,1,0.0029995486729456,2.0,13000.0,0.0001799729203767,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4265,2311,1930,Highway,1,0.211116147173026,2.0,13000.0,0.0126669688303815,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4268,2289,1931,Highway,1,0.00299996307314,2.0,13000.0,0.0001799977843884,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4272,2300,1932,Highway,1,0.0030000257082547,2.0,13000.0,0.0001800015424952,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4276,2303,1933,Highway,1,0.0059999498031794,2.0,13000.0,0.0003599969881907,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4279,2304,1933,Highway,1,0.6171735252523133,2.0,13000.0,0.0370304115151387,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4280,2304,1934,Highway,1,0.0059999602799013,2.0,13000.0,0.000359997616794,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
,4282,2303,1934,Highway,1,0.6291731360066791,2.0,13000.0,0.0377503881604007,1,0,1000.0,13000.0,0.15,4,1.0,1,100,10,0,1,1
