node_id,x_coord,y_coord,name
1,315981.0612,5810552.063,
2,315810.0612,5810563.063,
3,315979.0612,5810574.063,
4,316127.0612,5810590.063,
5,317903.3002,5811199.09,
6,317820.0612,5811120.063,
7,318014.6266,5810884.412,
8,323015.0612,5815055.063,
9,323021.0258,5815093.171,
10,323287.0612,5814971.063,
11,314220.2715,5808702.8,
12,314568.0924,5808658.276,
13,314158.0612,5808813.063,
14,314769.0621,5808636.026,
15,314524.3152,5809076.603,
16,315054.9062,5808597.144,
17,312875.0612,5812102.063,
18,313426.8868,5812878.968,
19,313368.0612,5812510.063,
20,313060.0612,5812929.063,
21,313687.969,5812843.098,
22,313364.5002,5812466.426,
23,313645.7441,5812526.718,
24,313638.3737,5812576.153,
25,314049.0873,5812463.105,
26,313633.8917,5812433.217,
27,314848.6617,5813499.864,
28,314874.0328,5813660.05,
29,314403.2139,5813545.16,
30,313794.21,5813624.766,
31,313806.879,5813760.358,
32,314283.9894,5813555.997,
33,313740.0612,5813254.063,
34,314427.0532,5813716.049,
35,313939.0612,5813768.063,
36,314454.041,5813921.094,
37,313823.7648,5813862.667,
38,313833.3872,5813957.925,
39,327708.39454999997,5815562.911,
40,327404.773725,5815322.513,
41,327101.1529,5815082.115,
42,317149.1065,5817388.081,
43,316359.3405,5816484.293,
44,316401.0765,5816889.062,
45,316476.2731,5816336.864,
46,316258.2558,5816613.672,
47,316465.8109,5817463.839,
48,317025.8699,5816282.281,
49,316968.8248,5815733.789,
50,317062.2435,5816564.815,
51,316993.0612,5815975.063,
52,317906.895,5816482.284,
53,317244.1549,5816544.116,
54,317684.0612,5816834.063,
55,317934.0794,5816442.059,
56,317386.57555,5818011.2955,
57,313770.853,5816978.35,
58,314231.4135,5816899.421,
59,313388.8249,5817028.564,
60,313710.0612,5816465.063,
61,313792.6245,5817154.253,
62,312929.0612,5815855.063,
63,313497.1638,5814753.367,
64,313119.0612,5814966.063,
65,313773.0612,5814719.063,
66,313598.0533,5815529.099,
67,313465.2003,5814502.16,
68,314097.8676,5814685.291,
69,314119.0612,5814851.063,
70,314071.0674,5814437.074,
71,312708.7747,5815010.276000001,
72,317856.2777,5815653.662,
73,317927.0612,5815656.063,
74,317311.3362,5815712.675,
75,317895.17854999995,5816047.8605,
76,314693.0597,5812723.051,
77,314283.4363,5812769.348,
78,314900.0827,5812698.04,
79,323361.6398,5815050.63,
80,323343.0612,5815072.063,
81,323366.0612,5815081.063,
82,323196.0612,5815088.063,
83,323174.0612,5815079.063,
84,323167.0612,5815063.063,
85,323180.0612,5815042.063,
86,323215.2526,5815028.816,
87,325401.27,5809005.633,
88,325483.0612,5809625.063,
89,325487.3668,5808993.665,
90,325290.9549,5809019.376,
91,325477.0612,5809660.063,
92,324633.2298,5809120.548,
93,324683.98665,5809539.533,
94,324876.81715,5809084.085000001,
95,324315.6391,5809159.759,
96,324734.7435,5809958.518,
97,324425.637,5809995.747,
98,324960.2754,5809931.805,
99,323860.2139,5809233.502,
100,323905.0577,5809610.064,
101,324071.9437,5809195.323,
102,323568.9328,5809270.325,
103,323736.2174,5808687.533,
104,323609.13375000004,5808829.7585,
105,323457.9598,5808725.689,
106,323912.9457,5808656.322,
107,323482.0501,5808971.984,
108,322674.3212,5809097.709,
109,323076.0639,5809034.081,
110,322686.5924,5809203.885,
111,322646.968,5808839.719,
112,323279.05700000003,5809003.032500001,
