centroid_new_id,x_coord,y_coord,name
1921,312622.9521,5816016.626,nan
1922,312507.0628,5815039.713,nan
1923,326154.4957,5808289.662,nan
1924,327054.1472,5808216.229,nan
1925,327769.6374,5810765.873,nan
1926,327607.6961,5812878.808,nan
1927,327587.2086,5811972.566,nan
1928,323403.6615,5808317.931,nan
1929,324213.0865,5808285.453,nan
1930,327710.8621,5814090.577,nan
1931,319347.5518,5818023.896,nan
1932,324886.3583,5818108.678,nan
1933,325612.0433,5818145.736,nan
1934,326231.0384,5818073.694,nan
1935,318348.8159,5818317.527,nan
1936,322352.3264,5808217.254,nan
1937,322485.43,5808324.064,nan
1938,322592.6838,5808315.18,nan
1939,312607.2223,5811560.303,nan
1940,327765.0612,5815590.063,nan
1941,312660.68,5817626.453,nan
1942,318886.1503,5818285.121,nan
1943,321430.0758,5818143.099,nan
1944,323781.0517,5818120.825,nan
1945,320547.861,5818105.195,nan
1946,322103.278,5818066.358,nan
1947,317151.6904,5818048.448,nan
1948,317259.7517,5818039.883,nan
1949,322840.1367,5818029.874,nan
1950,315516.0797,5817742.079,nan
1951,327480.5671,5817466.825,nan
1952,312446.8121,5816292.285,nan
1953,312447.2717,5816234.111,nan
1954,327702.3382,5815559.699,nan
1955,327560.604,5814818.676,nan
1956,312684.2321,5814592.554,nan
1957,327679.2697,5814288.033,nan
1958,312593.1126,5814180.773,nan
1959,327677.6948,5813658.086,nan
1960,327690.8505,5813392.578,nan
1961,321182.2338,5808257.812,nan
1962,312419.5696,5813073.316,nan
1963,312418.5686,5812966.315,nan
1964,327825.1297,5811258.939,nan
1965,312576.0957,5810512.825,nan
1966,327575.1731,5810015.091,nan
1967,312519.919,5809694.51,nan
1968,327557.3174,5809592.724,nan
1969,327748.5064,5808661.984,nan
1970,320906.2599,5808255.698,nan
1971,325023.5731,5808163.252,nan
1972,325833.9527,5808124.433,nan
1973,321619.5562,5808290.816,nan
1974,326627.6358,5808270.919,nan
1975,315379.3321,5808250.577,nan
1976,321944.9416,5808087.428,nan
1977,322204.5558,5808186.413,nan
1978,315044.2962,5808150.799,nan
1979,314664.2551,5807906.495,nan
1980,317390.4092,5818019.029,nan
1981,321356.0612,5813418.063,nan
1982,324901.9362,5815851.53,nan
1983,320077.3112,5812963.463,nan
1984,323874.0612,5815679.063,nan
1985,324317.0612,5815831.063,nan
1986,322745.0612,5815323.063,nan
1987,321326.0612,5815618.063,nan
1988,321887.0612,5815013.063,nan
1989,322466.0612,5814984.063,nan
1990,322700.0612,5814855.063,nan
1991,323922.0612,5814186.063,nan
1992,321798.0612,5814099.063,nan
1993,321076.0612,5812861.063,nan
1994,322628.0612,5814154.063,nan
1995,323644.0612,5812994.063,nan
1996,324367.0612,5812921.063,nan
1997,325089.0612,5812919.063,nan
1998,323584.0612,5811200.063,nan
1999,324829.0612,5811337.063,nan
2000,321570.0612,5812817.063,nan
2001,318042.0612,5815097.063,nan
2002,317318.0612,5815581.063,nan
2003,318244.0612,5816014.063,nan
2004,317736.0612,5816154.063,nan
2005,317314.0612,5816214.063,nan
2006,316106.0612,5817159.063,nan
2007,316730.0612,5816874.063,nan
2008,316051.1355,5817651.299,nan
2009,318022.0612,5816866.063,nan
2010,317819.0612,5817634.063,nan
2011,314673.0612,5815730.063,nan
2012,315173.0612,5813268.063,nan
2013,314312.0612,5813244.063,nan
2014,314156.0612,5813827.063,nan
2015,313490.4049,5812503.31,nan
2016,313831.7799,5812628.368,nan
2017,314182.0612,5809534.063,nan
2018,320951.0612,5812534.063,nan
2019,313750.0612,5814292.063,nan
2020,313784.0612,5814586.063,nan
2021,313833.0612,5815105.063,nan
2022,314379.0612,5814799.063,nan
2023,314561.2715,5808894.532,nan
2024,320736.0612,5812461.063,nan
2025,322510.0612,5808712.063,nan
2026,322918.0612,5809163.063,nan
2027,323867.0612,5808954.063,nan
2028,324689.0612,5808823.063,nan
2029,324591.0612,5809275.063,nan
2030,324100.0612,5809365.063,nan
2031,323083.0612,5810773.063,nan
2032,324247.8427,5810219.225,nan
2033,322608.0612,5809861.063,nan
2034,325558.0612,5810461.063,nan
2035,325704.0612,5809397.063,nan
2036,325525.0612,5808708.063,nan
2037,321160.0612,5812646.063,nan
2038,326362.0612,5809305.063,nan
2039,327168.3897,5809904.704,nan
2040,320633.0612,5808852.063,nan
2041,320115.3112,5809048.7,nan
2042,319979.8112,5809574.335,nan
2043,320459.2487,5810612.313,nan
2044,318819.0612,5810218.063,nan
2045,318004.0612,5810142.063,nan
2046,317359.0612,5810254.063,nan
2047,318940.0612,5814983.063,nan
2048,319717.7174,5814154.493,nan
2049,321717.0612,5816198.063,nan
2050,320157.0612,5813867.063,nan
2051,320456.0612,5813821.063,nan
2052,321460.8424,5815001.89,nan
2053,322952.0612,5816280.063,nan
2054,323308.0612,5816102.063,nan
2055,322201.0612,5815620.063,nan
2056,322227.0612,5814246.063,nan
2057,322397.0612,5814258.063,nan
2058,323178.0612,5815547.063,nan
2059,323062.0612,5814656.063,nan
