centroid_new_id,x_coord,y_coord
1921,312622.9521,5816016.626
1922,312507.0628,5815039.713
1923,326154.4957,5808289.662
1924,327054.1472,5808216.229
1925,327769.6374,5810765.873
1926,327607.6961,5812878.808
1927,327587.2086,5811972.566
1928,323403.6615,5808317.931
1929,324213.0865,5808285.453
1930,327710.8621,5814090.577
1931,319347.5518,5818023.896
1932,324886.3583,5818108.678
1933,325612.0433,5818145.736
1934,326231.0384,5818073.694
1935,318348.8159,5818317.527
1936,322352.3264,5808217.254
1937,322485.43,5808324.064
1938,322592.6838,5808315.18
1939,312607.2223,5811560.303
1940,327765.0612,5815590.063
1941,312660.68,5817626.453
1942,318886.1503,5818285.121
1943,321430.0758,5818143.099
1944,323781.0517,5818120.825
1945,320547.861,5818105.195
1946,322103.278,5818066.358
1947,317151.6904,5818048.448
1948,317259.7517,5818039.883
1949,322840.1367,5818029.874
1950,315516.0797,5817742.079
1951,327480.5671,5817466.825
1952,312446.8121,5816292.285
1953,312447.2717,5816234.111
1954,327702.3382,5815559.699
1955,327560.604,5814818.676
1956,312684.2321,5814592.554
1957,327679.2697,5814288.033
1958,312593.1126,5814180.773
1959,327677.6948,5813658.086
1960,327690.8505,5813392.578
1961,321182.2338,5808257.812
1962,312419.5696,5813073.316
1963,312418.5686,5812966.315
1964,327825.1297,5811258.939
1965,312576.0957,5810512.825
1966,327575.1731,5810015.091
1967,312519.919,5809694.51
1968,327557.3174,5809592.724
1969,327748.5064,5808661.984
1970,320906.2599,5808255.698
1971,325023.5731,5808163.252
1972,325833.9527,5808124.433
1973,321619.5562,5808290.816
1974,326627.6358,5808270.919
1975,315379.3321,5808250.577
1976,321944.9416,5808087.428
1977,322204.5558,5808186.413
1978,315044.2962,5808150.799
1979,314664.2551,5807906.495
1980,317390.4092,5818019.029
1981,321356.0612,5813418.063
1982,324901.9362,5815851.53
1983,320077.3112,5812963.463
1984,323874.0612,5815679.063
1985,324317.0612,5815831.063
1986,322745.0612,5815323.063
1987,321326.0612,5815618.063
1988,321887.0612,5815013.063
1989,322466.0612,5814984.063
1990,322700.0612,5814855.063
1991,323922.0612,5814186.063
1992,321798.0612,5814099.063
1993,321076.0612,5812861.063
1994,322628.0612,5814154.063
1995,323644.0612,5812994.063
1996,324367.0612,5812921.063
1997,325089.0612,5812919.063
1998,323584.0612,5811200.063
1999,324829.0612,5811337.063
2000,321570.0612,5812817.063
2001,318042.0612,5815097.063
2002,317318.0612,5815581.063
2003,318244.0612,5816014.063
2004,317736.0612,5816154.063
2005,317314.0612,5816214.063
2006,316106.0612,5817159.063
2007,316730.0612,5816874.063
2008,316051.1355,5817651.299
2009,318022.0612,5816866.063
2010,317819.0612,5817634.063
2011,314673.0612,5815730.063
2012,315173.0612,5813268.063
2013,314312.0612,5813244.063
2014,314156.0612,5813827.063
2015,313490.4049,5812503.31
2016,313831.7799,5812628.368
2017,314182.0612,5809534.063
2018,320951.0612,5812534.063
2019,313750.0612,5814292.063
2020,313784.0612,5814586.063
2021,313833.0612,5815105.063
2022,314379.0612,5814799.063
2023,314561.2715,5808894.532
2024,320736.0612,5812461.063
2025,322510.0612,5808712.063
2026,322918.0612,5809163.063
2027,323867.0612,5808954.063
2028,324689.0612,5808823.063
2029,324591.0612,5809275.063
2030,324100.0612,5809365.063
2031,323083.0612,5810773.063
2032,324247.8427,5810219.225
2033,322608.0612,5809861.063
2034,325558.0612,5810461.063
2035,325704.0612,5809397.063
2036,325525.0612,5808708.063
2037,321160.0612,5812646.063
2038,326362.0612,5809305.063
2039,327168.3897,5809904.704
2040,320633.0612,5808852.063
2041,320115.3112,5809048.7
2042,319979.8112,5809574.335
2043,320459.2487,5810612.313
2044,318819.0612,5810218.063
2045,318004.0612,5810142.063
2046,317359.0612,5810254.063
2047,318940.0612,5814983.063
2048,319717.7174,5814154.493
2049,321717.0612,5816198.063
2050,320157.0612,5813867.063
2051,320456.0612,5813821.063
2052,321460.8424,5815001.89
2053,322952.0612,5816280.063
2054,323308.0612,5816102.063
2055,322201.0612,5815620.063
2056,322227.0612,5814246.063
2057,322397.0612,5814258.063
2058,323178.0612,5815547.063
2059,323062.0612,5814656.063
2060,322836.0612,5813816.063
2061,323730.9362,5813458.46
2062,323521.0612,5812078.063
2063,324332.0612,5811979.063
2064,325046.0612,5811880.063
2065,323852.2159,5811218.189
2066,325056.0612,5813537.063
2067,325914.0612,5812614.063
2068,325715.0612,5811934.063
2069,326648.0612,5811758.063
2070,326744.0612,5812539.063
2071,326713.0612,5813630.063
2072,326619.0612,5814036.063
2073,320428.0612,5812608.063
2074,318945.0612,5813680.063
2075,323648.0612,5814727.063
2076,321100.0612,5817110.063
2077,314259.0612,5810161.063
2078,323570.9534,5818139.234
2079,323457.0612,5817230.063
2080,324678.0612,5816573.063
2081,324294.4588,5817381.986
2082,324534.265,5817623.384
2083,325720.0612,5816621.063
2084,326331.4788,5816722.136
2085,326371.0903,5817347.024
2086,320181.0612,5812538.063
2087,314074.2279,5817904.969
2088,320511.0612,5812391.063
2089,314563.0612,5816519.063
2090,313899.0612,5815746.063
2091,320883.0612,5812357.063
2092,315864.0612,5814557.063
2093,314401.0612,5814677.063
2094,314880.5299,5814886.418
2095,315309.0612,5814722.063
2096,314766.0612,5814487.063
2097,315566.0612,5814506.063
2098,315285.0612,5814450.063
2099,315880.0612,5813924.063
2100,320907.0612,5813294.063
2101,320257.0612,5812302.063
2102,314280.0612,5814136.063
2103,314763.0612,5814167.063
2104,314823.5612,5813775.52
2105,314762.0612,5812980.063
2106,313397.0612,5813357.063
2107,314212.0612,5812193.063
2108,319105.0612,5816694.063
2109,316843.0612,5816120.063
2110,317388.0612,5816951.063
2111,319529.0612,5816130.063
2112,315687.4385,5816601.626
2113,318272.0612,5816339.063
2114,317311.0612,5815911.063
2115,318739.5924,5815183.842
2116,320720.0612,5815744.063
2117,316432.0612,5815546.063
2118,318538.0612,5814604.063
2119,320533.0612,5815054.063
2120,319271.0612,5814338.063
2121,317565.0612,5815324.063
2122,317990.0612,5815428.063
2123,318443.0612,5815251.063
2124,317540.5619,5814731.869
2125,318016.5562,5814686.122
2126,318871.0612,5814704.063
2127,318683.0612,5814192.063
2128,319226.0612,5813966.063
2129,319310.0612,5814690.063
2130,319759.0612,5813921.063
2131,319926.0612,5814276.063
2132,320037.0612,5814536.063
2133,319714.0612,5814488.063
2134,319597.0612,5814928.063
2135,319657.0612,5815463.063
2136,320168.0612,5816023.063
2137,320590.0612,5814600.063
2138,320363.0612,5814618.063
2139,320597.0612,5813820.063
2140,320610.0612,5814033.063
2141,320420.0612,5814044.063
2142,320634.0612,5814264.063
2143,320388.0612,5814285.063
2144,320130.0612,5814074.063
2145,321090.0612,5813991.063
2146,322219.0612,5813065.063
2147,319244.77,5813360.296
2148,319587.0612,5813417.063
2149,319917.0612,5813248.063
2150,320890.7487,5814559.29
2151,320390.0612,5813353.063
2152,320177.0612,5813273.063
2153,319970.0612,5813662.063
2154,321099.0612,5813573.063
2155,320581.0612,5813627.063
2156,320152.1237,5812737.075
2157,320291.2174,5813073.639
2158,320472.0612,5813126.063
2159,320645.0612,5812688.063
2160,320863.0612,5812775.063
2161,320764.0612,5812988.063
2162,321242.0612,5812407.063
2163,321971.0924,5812553.558
2164,321099.0612,5811951.063
2165,320330.0612,5811868.063
2166,320642.0612,5811924.063
2167,320627.0612,5811623.063
2168,320407.0612,5811517.063
2169,320896.0612,5811207.063
2170,321027.0612,5811115.063
2171,320977.0612,5810766.063
2172,321265.0612,5810915.063
2173,321397.0612,5810713.063
2174,321615.0612,5810591.063
2175,321937.0612,5810560.063
2176,322741.0612,5810931.063
2177,323291.0612,5811288.063
2178,323076.0612,5811459.063
2179,323080.0612,5810398.063
2180,323867.0612,5810401.063
2181,323554.0612,5810607.063
2182,323341.0612,5810612.063
2183,323781.0612,5809949.063
2184,323716.0612,5809504.063
2185,323404.0612,5809767.063
2186,322986.0612,5809580.063
2187,323334.0612,5809142.063
2188,323298.0612,5808893.063
2189,322501.0612,5809311.063
2190,322374.1862,5809199.485
2191,321959.0612,5809726.063
2192,322083.0612,5809367.063
2193,322024.0612,5810115.063
2194,322154.1862,5809657.097
2195,322287.0612,5808670.063
2196,323467.0612,5810290.063
2197,321487.5924,5814500.196
2198,322188.0612,5809001.063
2199,319987.0612,5814872.063
2200,321204.0612,5813369.063
2201,317759.8865,5814719.365
2202,318192.0612,5814300.063
2203,318668.0612,5817722.063
2204,317042.0612,5813917.063
2205,320837.0612,5814007.063
2206,321422.0612,5813996.063
2207,318782.76,5813188.84
2208,319517.0612,5813629.063
2209,324319.0649,5818074.976
2210,324223.0612,5816893.063
