name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_theta1,VDF_gamma1,VDF_mu1,RUC_rho1,RUC_resource1,RUC_type,is_connector
,1,1,2,Highway,1,0.1713534359153617,5.0,9000.0,100.0,1,0,0.102812061549217,9000.0,0.15,4,1.0,1,100,10,0,1,0
,2,3,4,Highway,1,0.1488623525274271,5.0,9000.0,100.0,1,0,0.0893174115164563,9000.0,0.15,4,1.0,1,100,10,0,1,0
,3,5,6,Highway,1,0.1147780373153493,1.0,1800.0,100.0,1,0,0.0688668223892096,1800.0,0.15,4,1.0,1,100,10,0,1,0
,4,8,9,Highway,1,0.0385719602452435,1.0,1000.0,50.0,1,0,0.0462863522942922,1000.0,0.15,4,1.0,1,100,10,0,1,0
,5,10,8,Highway,1,0.2846752535785293,1.0,950.0,90.0,1,0,0.1897835023856862,950.0,0.15,4,1.0,1,100,10,0,1,0
,6,11,12,Highway,1,0.3506590438771872,1.0,1000.0,50.0,1,0,0.4207908526526247,1000.0,0.15,4,1.0,1,100,10,0,1,0
,7,11,13,Highway,1,0.1266019375647398,2.0,1500.0,90.0,1,0,0.0844012917098265,1500.0,0.15,4,1.0,1,100,10,0,1,0
,8,11,2275,Highway,1,0.902803216857835,2.0,1500.0,90.0,1,0,0.6018688112385567,1500.0,0.15,4,1.0,1,100,10,0,1,0
,9,14,12,Highway,1,0.2021976330674349,1.0,1000.0,50.0,1,0,0.2426371596809218,1000.0,0.15,4,1.0,1,100,10,0,1,0
,10,14,15,Highway,1,0.5039931924034767,2.0,1300.0,50.0,1,0,0.6047918308841721,1300.0,0.15,4,1.0,1,100,10,0,1,0
,11,14,16,Highway,1,0.2884764451888239,1.0,1000.0,50.0,1,0,0.3461717342265887,1000.0,0.15,4,1.0,1,100,10,0,1,0
,12,14,2276,Highway,1,0.5658574171833376,2.0,1300.0,50.0,1,0,0.6790289006200051,1300.0,0.15,4,1.0,1,100,10,0,1,0
,13,1920,17,Highway,1,0.5233309771895241,2.0,1500.0,90.0,1,0,0.3488873181263494,1500.0,0.15,4,1.0,1,100,10,0,1,0
,14,18,19,Highway,1,0.3735657241243503,1.0,1000.0,50.0,1,0,0.4482788689492204,1000.0,0.15,4,1.0,1,100,10,0,1,0
,15,18,20,Highway,1,0.3702303740109941,1.0,700.0,50.0,1,0,0.4442764488131929,700.0,0.15,4,1.0,1,100,10,0,1,0
,16,18,21,Highway,1,0.2635347644179991,1.0,700.0,50.0,1,0,0.316241717301599,700.0,0.15,4,1.0,1,100,10,0,1,0
,17,19,18,Highway,1,0.3735657241243503,1.0,1000.0,50.0,1,0,0.4482788689492204,1000.0,0.15,4,1.0,1,100,10,0,1,0
,18,19,22,Highway,1,0.0437820567128705,1.0,1000.0,50.0,1,0,0.0525384680554446,1000.0,0.15,4,1.0,1,100,10,0,1,0
,19,23,24,Highway,1,0.049981416757828,2.0,1700.0,90.0,1,0,0.0333209445052187,1700.0,0.15,4,1.0,1,100,10,0,1,0
,20,23,25,Highway,1,0.4083287287899654,1.0,1000.0,50.0,1,0,0.4899944745479585,1000.0,0.15,4,1.0,1,100,10,0,1,0
,21,23,26,Highway,1,0.0942492248604274,2.0,1700.0,90.0,1,0,0.0628328165736183,1700.0,0.15,4,1.0,1,100,10,0,1,0
,22,27,28,Highway,1,0.1621827589823612,1.0,1000.0,50.0,1,0,0.1946193107788335,1000.0,0.15,4,1.0,1,100,10,0,1,0
,23,27,29,Highway,1,0.4477448717080622,1.0,1000.0,50.0,1,0,0.5372938460496747,1000.0,0.15,4,1.0,1,100,10,0,1,0
,24,30,31,Highway,1,0.1361825760699523,2.0,1700.0,90.0,1,0,0.0907883840466348,1700.0,0.15,4,1.0,1,100,10,0,1,0
,25,30,32,Highway,1,0.4945836997165145,1.0,1000.0,50.0,1,0,0.5935004396598175,1000.0,0.15,4,1.0,1,100,10,0,1,0
,26,30,33,Highway,1,0.3746368998780751,2.0,1700.0,90.0,1,0,0.24975793325205,1700.0,0.15,4,1.0,1,100,10,0,1,0
,27,34,35,Highway,1,0.4907562004295735,1.0,1000.0,50.0,1,0,0.5889074405154883,1000.0,0.15,4,1.0,1,100,10,0,1,0
,28,34,36,Highway,1,0.2068134264834118,1.0,1000.0,50.0,1,0,0.2481761117800942,1000.0,0.15,4,1.0,1,100,10,0,1,0
